No.,Mitra,Judul Kerjasama,Dasar Hukum Mitra,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,
75,RSU Darmayu Madiun,Rujukan Pelayanan dan Penunjang Medis, 68.I/RS.DmyM/PKS/B-RS/II/2025,100.3.7.1/20505/102.9/2025,03 Februari 2025,02 Februari 2028,2 November 2027,Berjalan,v8j0t5ltglpo7onutgjgc9dd98@google.com,rsudarmayumdn@yahoo.com,belum ada scan PKS
76,Rumah Sakit Griya Husada Madiun,Pelayanan Medis Rujukan,015/RSGH/PKS/II/2025,100.3.7.1/5622/102.9/2025,10 Februari 2025,10 Februari 2028,10 November 2027,Berjalan,2pbrti2kstjku63gu137buniog@google.com,rs_griyahusada_madiun@yahoo.com,belum ada scan PKS
77,RSIA Sekar Wangi Magetan,Pelayanan Kesehatan Rujukan,02/IV/MOU/SW/III/2025,100.3.7.1/8993/102.9/2025,03 Maret 2025,20 Februari 2028,20 November 2027,Berjalan,i4qls9d0uh3khiin456sqhevdo@google.com,rsia.sekarwangi@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/03-03-2025-1760182436-Scan_PKS_RSIA_Sekar_Wangi_Magetan_2025.pdf
78,Amaris Hotel Madiun,Pelayanan Kesehatan bagi Tamu dan Karyawan Amaris Hotel Madiun,  001/AMR-MDN/SPK-KES/II/2025,100.3.7.1/7732/102.9/2025,24 Februari 2025,23 Februari 2028,23 November 2027,Berjalan,tk85gr9uihjac36m4p9o08j250@google.com,tidak ada email,belum ada scan PKS
79,RSUD Dungus Madiun,Rujukan Pelayanan dan Penunjang Medis,400.7.6.1/221/102.18/2025,100.3.7.1/         /102.9/2025,21 Maret 2025,20 Maret 2028,20 Desember 2027,Berjalan,q3llkm322lu6inulo06h2iq4sg@google.com,rsuddungus.pemprov.jatim@gmail.com,belum ada scan PKS
80,Dinas Kesehatan Pengendalian Penduduk dan Keluarga Berencana Kota Madiun,Pembinaan Jejaring Program Nasional di Kota Madiun,440/807/401.103/2025,100.3.7.1/27083/102.9/2025,01 Agustus 2025,31 Juli 2028,30 April 2028,Berjalan,golledho2djgniabkqk2gr3p0s@google.com,dinkkes.madiunkota@gmail.com,belum ada scan PKS
81,PT Asuransi BRI Life,Pelayanan Kesehatan dan Obat Bagi Peserta Asuransi Kesehatan PT Asuransi BRI Life ,B.2808/PKS/HED/V/2025,100.3.7.1/14325/102.9/2025,01 Mei 2025,30 April 2028,30 Januari 2028,Berjalan,ihp902cl718gmcfbbkvjmqar1o@google.com,nyoman.ayu@brilife.co.id,belum ada scan PKS
82,PT Integritas Solusi Medika,Pelayanan Kesehatan,273/LGL-ISOMDK/PKS-RS/XII/2025,100.3.7.1/25734/102.9/2025,01 Juli 2025,30 Juni 2028,30 Maret 2028,Berjalan,4a6alhkeokj5udo4fle9keemfs@google.com,claim@isomedik.com,belum ada scan PKS
83,PT Sumber Cipta Multiniaga,Pelayanan Kesehatan bagi Peserta BPJS Kesehatan,003/07/MDU/SK/2025,100.3.7.1/25274/102.9/2025,01 Agustus 2025,31 Juli 2028,30 April 2028,Berjalan,ecodl0ilqhkb3mgef2sgine1tc@google.com,agun.setiyartono@sumbercipta.com,belum ada scan PKS
84,Rumah Sakit Santa Clara,Penyelenggaraan Perbekalan Farmasi Dengan Pinjam Pakai Guna Mengatasi Kedaruratan,139a/RSSC-PKS/VIII/2025,100.3.7.1/29205/102.9/2025,01 September 2025,31 Agustus 2028,31 Mei 2028,Berjalan,89o2offr9cmfl3b04bkholjtp4@google.com,rs.santaclara@yahoo.com,belum ada scan PKS
85,CV. 2-Empat Medika,Rujukan Pelayanan Kesehatan,001/CV-2 EMPAT/VI/2025,100.3.7.1/19815/102.9/2025,01 September 2025,31 Agustus 2028,31 Mei 2028,Berjalan,pvhhgocu9ja70q2k3c16r5me6s@google.com,24.klinik@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/23-06-2025-1764056801-PKS_Rujukan_CV-Empat_Medika.pdf
86,Klinik Pratama Rawat Inap Mitra Husada Magetan,Pelayanan Kesehatan Rujukan,C.105/KMHM/VII/2022,"445/30,835/102,9/2022",01 Agustus 2022,31 Juli 2024,30 April 2024,Tidak Diperpanjang,ob6u2glo9abnqgud86kl4h2o7o@google.com,tidak ada email,
87,RSUD dr. Sayidiman Magetan, Kegiatan Kredensial dan Rekredensial Tenaga Kesehatan Lainnya,,100.3.7.1/36272/102.9/2025,01/10/2025,30 September 2028,30 Juni 2028,Berjalan,0i57gr3a93tj9aothljiqengc0@google.com,rsud.dr.sayidiman.go.id,belum ada scan PKS
88,RSUD Dolopo,Pelayanan Rujukan Pasien,100.3.7.1/1674/402.102.120/2025,100.3.7.1/34755/102.9/2025,01 Oktober 2025,30 September 2028,30 Juni 2028,Berjalan,kmjrfqunsrq67mevihat5g22uo@google.com,rsuddolopo@madiunkab.go.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/03-10-2022-1672895562-PKS_Rujukan_RSUD_Dolopo.pdf
89,RSU 'Aisyiyah Ponorogo,Rujukan Pelayanan dan Penunjang Medis,RSUA/0922/III.6.AU/I/X/2025,100.3.7.1/37275/102.9/2025,10 Oktober 2025,9 Oktober 2028,9 Juli 2028,Berjalan,hc4cmlstc18r10svc9816varuc@google.com,rsuapo@yahoo.co.id,belum ada scan PKS
90,RS Paru Manguharjo,Pelayanan Rujukan dan Penunjang Medis,400.7/274/102.14/2025,100.3.7.1/50220/102.9/2025,01 Desember 2025,30 November 2028,30 Agustus 2028,Berjalan,na8028qmvfnkerlbs7lvkei8fc@google.com,rspmanguharjo@gmail.com,
91,RSUD Dr. Soeroto Ngawi,Pelayanan Rujukan PAsien,400.7.3.1/04/404.302.1/2026,100.3.7.1/772/102.9/2026,07 Januari 2026,6 Januari 2029,6 Oktober 2028,Berjalan,u6i2ijoq8sr0g72n230eftb420@google.com,umumdr.soeroto@gmail.com,belum ada scan PKS
92,RSUD Dungus Provinsi Jawa Timur,Kegiatan Kredensial dan Rekredensial Tenaga Dokter,100.3.7.1/50/102.18/2026,100.3.7.1/1977/102.9/2026,19 Januari 2026,18 Januari 2029,18 Oktober 2028,Berjalan,bt6v0p5ukv3j1n8od89dvh22j8@google.com,rsuddungus.pemprov.jatim@gmail.com,belum ada scan PKS
93,Dinas Kesehatan kabupaten Magetan,Pembinaan Jejaring Program Nasional dan Rujukan Lansia di Kabupaten Magetan,400.7.14.1/270/401.103/2026,100.3.7.1/3340/102.9/2026,27 Januari 2026,26 Januari 2029,26 Oktober 2028,Berjalan,gbahcum6obut686tm72k33dcv8@google.com,kesga.dinkesmgt@gmail.com,belum ada scan PKS
94,RSUD Dungus Provinsi Jawa Timur,Kegiatan Kredensial dan Rekredensial Perawat dan Tenaga Kesehatan Lainnya,100.3.7.1/95/102.18/2026,100.3.7.1/3937/102.9/2026,01 Februari 2026,31 Januari 2029,31 Oktober 2028,Berjalan,7l7h0dg9sbn6qkpk80pdu5kvkk@google.com,rsuddungus.pemprov.jatim@gmail.com,belum ada scan PKS
95,UPT Puskesmas Kwadungan Kabupaten Ngawi,Pelayanan Kesehatan Rujukan Lanjutan,440/11.08/404.102.12/2022,,01 Agustus 2022,31 Juli 2024,30 April 2024,Tidak Diperpanjang,i3b2qfaaavh3m2tmnrmtc3rlr0@google.com,tidak ada email,
96,UPT Puskesmas Saradan,Pelayanan Rujukan Lanjutan,445/908.8/402.102.10/2022,445/42.221/102.9/2022,01 Agustus 2022,31 Juli 2024,30 April 2024,Tidak Diperpanjang,p5numohbt5ofo3mm4virhlcgr0@google.com,tidak ada email,
97,RSU Darmayu Ponorogo,Pelayanan Rujukan Pasien,560/RS.Dmy/PKS/B-RS/VII/2024,445/49.730/102.9/2022,01 September 2022,31 Agustus 2024,31 Mei 2024,Tidak Diperpanjang,2p9h5r7pilppbrqckvt8i5odfs@google.com,rsudarmayu@yahoo.com,
98,RSI SITI AISYAH MADIUN,Pengiriman Pemeriksaan Sampel Swab PCR dalam Rangka Penanganan COVID - 19,RSI-5A/244a/pks/III.6.AU/I/VII/2023,445/30.184/102.9/2023,01 September 2022,26 Juli 2023,26 April 2023,Tidak Diperpanjang,0h3b9t3o6n96dg7l90i23lu9gs@google.com,tidak ada email,
