Column 1,Mitra 1,Mitra 2,Judul Kerjasama,Dasar Hukum Mitra 1,Dasar Hukum Mitra 2,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,URL,
65,UNIVERSITAS PGRI MADIUN,,Pelaksanaan Kegiatan Program Kerja Praktik/Magang,044/H/UNIPMA/2024,,100.3.7.1/10/048/102.9/2024,1 Juli 2024,30 Juni 2027,30 Maret 2027,Berjalan,u5s088rdgsns4eqe25uc9slpq0@google.com,rektorat@unipma.ac.id,belum ada scan PKS,
66,Fakultas Ilmu Komputer Universitas Brawijaya,,Pelaksanaan Praktik Kerja Lapangan,03542/UN10.F1501/B/KS/2024,,100.3.7.1/28683/102.9/2024,8 Agustus 2024,7 Agustus 2027,7 Mei 2027,Berjalan,1pfhnmj3qjru8th4rrhne1j66c@google.com,filkom@ub.ac.id,belum ada scan PKS,
67,Fakultas Psikologi Universitas Negeri Surabaya,,"Pelaksanaan Pendidikan, Penelitian dan Pengabdian kepada Masyarakat Berdasarkan Tri Dharma Perguruan Tinggi",85813/UN38.11/KS.01/2024,,100.3.7.1/33035/102.9/2024,9 September 2024,8 September 2027,8 Juni 2027,Berjalan,ffjvmdapoa9458n42n11qqi344@google.com,psikologi@unesa.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/09-09-2024-1751951128-PKS_Fak_Psikologi_UNESA_2024.pdf,
68,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN NGAWI,,Penyelenggaraan Praktik Klinik Keperawatan Mahasiswa Akademi Keperawatan Pemerintah Kabupaten Ngawi di RSUD dr. Soedono Provinsi Jawa Timur,421/025.A/404.102.28/I/2024,,100.3.7.1/33591/102.9/2024,12 September 2024,11 September 2027,11 Juni 2027,Berjalan,2f89tkhor7cqp09n4pbi5kocgc@google.com,admin@akperngawi.ac.id,belum ada scan PKS,
69,UNIVERSITAS PGRI MADIUN,,Pelaksanaan Tri Dharma Perguruan Tinggi,1697/H/UNIPMA/2024,,100.3.7.1/34829/102.9/2024,23 September 2024,22 September 2027,22 Juni 2027,Berjalan,0jbpf84ul0go3jbm41io3qnb78@google.com,rektorat@unipma.ac.id,belum ada scan PKS,
70,Fakultas Kedokteran Universitas Islam Indonesia Yogyakarta,RSUD Dr. Moewardi Surakarta,Pengelolaan dan Pelaksanaan Kepaniteraan Klinik Pendidikan Profesi dokter bagian Ilmu Kedokteran Forensik dan Medikolegal,1201.a/Dek-FK/01/Div.Adm.URT-FK/X/2024,445/9964A/2024,100.3.7.1/36544/102.9/2024,2 Oktober 2024,2 Oktober 2027,2 Juli 2027,Berjalan,sf3luhgvbbv1gok2tb4pmnsv94@google.com,"fk@uii.ac.id
rsmoewardi@jatengprov.go.id",belum ada scan PKS,
71,Fakultas Kedokteran Universitas Airlangga,RSUD Dr. Soetomo Surabaya, Rumah Sakit Jejaring Pendidikan,623/UN31.1I/KS/2024,100.3.7.1/6903/102.6/2024,100.3.7.1/43166/102.9/2024,12 November 2024,11 November 2027,11 Agustus 2027,Berjalan,uisdmg44aiq01vqhm8ms8t46g4@google.com,"dekan@fk.unair.ac.id
rsdstimpendidikan@gmail.com",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/12-11-2018-1574731464-PKS2018__31344__PKS_dengan_FK_Unair_dan_RSUD_Dr__Soetomo_Surabaya_ttg_Pendidikan_dan_Pelayanan_Rumah_Sakit_Jejaring.pdf,
72,RSUD dr. Mohammad Zyn Kabupaten Sampang,,Penyelenggaraan Pelatihan Basic Trauma Cardiac Life Support (BTCLS) bagi Praktisi Kesehatan di Fasilitas Pelayanan Kesehatan,100.3.7/422/434.203.100.01/2025,,100.3.7.1/43761/102.9/2025,20 November 2025,19 November 2027,19 Agustus 2027,Berjalan,4d5a12hrdf1q67tkmajbjnsapg@google.com,"rsud.dr.mohammad.zyn@gmail.com
081913531316",belum ada scan PKS,
73,Forum Kerukunan Umat Beragama Kota Madiun,,Pelayanan Kerohanian Pasien,,,100.3.7.1/51491/102.9/2024,1 Februari 2025,1 Februari 2028,1 November 2027,Berjalan,nghu73b2rjqf7q80jijo46gfh4@google.com,tidak ada,belum ada scan PKS,
74,Fakultas Ilmu Kesehatan Universitas ‘Aisyiyah Yogyakarta,,Pelaksanaan Tri Dharma Perguruan Tinggi dalam Implementasi Merdeka Belajar Kampus Merdeka serta Pemberdayaan Lulusan,1063/FIKES-UNISA/Au/V/2022,,"445/72.135/102,9/2022",3 Januari 2023,2 Januari 2028,2 Oktober 2027,Berjalan,dqcrubtjfcqla26a2jm2c8plt4@google.com,fikes@unisayogya.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/09-12-2022-1674606243-PKS_Unisa_Yogyakarta.pdf,
75,Fakultas Ilmu Kesehatan Universitas ‘Aisyiyah Yogyakarta,,Addendum Pelaksanaan Tri Dharma Perguruan Tinggi dalam Implementasi Merdeka Belajar Kampus Merdeka serta Pemberdayaan Lulusan,842/FIKES-UNISA/Au/IX/2024,,100.3.7.1/      /102.9/2024,5 September 2024,2 Januari 2028,2 Oktober 2027,Berjalan,vfvmgkqfhh6k78v6f0d1cg0lak@google.com,fikes@unisayogya.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/09-12-2022-1674606243-PKS_Unisa_Yogyakarta.pdf,
76,Politeknik Insan Husada Surakarta,,Pelaksanaan Tri Dharma Perguruan Tinggi,011/IH/MOU/2025,,100.3.7.1/270/102.9/2025,2 Januari 2025,2 Januari 2028,2 Oktober 2027,Berjalan,pmuqo61q1vq1nl66knbujd0qc8@google.com,info@polinsada.ac.id,belum ada scan PKS,
77,Fakultas Biologi Universitas Jenderal Soedirman,,Kegiatan Merdeka Belajar Kampus Merdeka (MBKM),B/5/UN23.6/HK.06.00/2025,,100.3.7.1/775/102.9/2025,7 Januari 2025,6 Januari 2028,6 Oktober 2027,Berjalan,degjvbqdkh3cnqi8936kqegj0g@google.com,tidak ada,belum ada scan PKS,
78,PT Bank Pembangunan Daerah Jawa Timur Tbk Cabang Madiun,,Fasilitas Pembayaran Pasien melalui Virtual Account,062/02/MDN/OPD/PKS,,445/27.366/102.9/2023,9 Januari 2023,8 Januari 2028,8 Oktober 2027,Berjalan,ad9tfaljvkldn7h08viutk3qsc@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/30-06-2022-1674715878-PKS_Virtual_Account_Bank_Jatim.pdf,
79,STIKES Rajekwesi Bojonegoro,,"Pengembangan di Bidang Pendidikan, Penelitian, dan Pelayanan Kesehatan",119/STIKes.R/I/2025,,100.3.7.1/269/102.9/2025,10 Januari 2025,9 Januari 2028,9 Oktober 2027,Berjalan,v28c88v1ub3k40t8pjdojfab28@google.com,stikes@rajekwesi.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-01-2025-1739017950-PKS_STIKES_Rajekwesi_Bojonegoro.pdf,
80,FAKULTAS KEDOKTERAN UNIVERSITAS ISLAM INDONESIA INDONESIA YOGYAKARTA,RUMAH SAKIT JIWA GRHASIA DINAS KESEHATAN DAERAH ISTIMEWA YOGYAKARTA,RUMAH SAKIT JIWA GRHASIA DINAS KESEHATAN DAERAH ISTIMEWA YOGYAKARTA SEBAGAI RUMAH SAKIT PENDIDIKAN AFILIASI FAKULTAS KEDOKTERAN UNIVERSITAS ISLAM INDONESIA YOGYAKARTA,176.a/Dek-FK/01/Ka.UPKS/II/2025,B/400.14.4.4/2495/D13.4,100.3.7.1/5589/102.9/2025,10 Februari 2025,09 Februari 2028,9 November 2027,Berjalan,jf4injg2iou087bbdish19ik3o@google.com,"fk@uii.ac.id
grhasiamentalhospital@jogjaprov.go.id",belum ada scan PKS,
81,Fakultas Ilmu Kesehatan Universitas Brawijaya,,"Penyelenggaraan Pendidikan, Penelitian dan Pengabdian Masyarakat di RSUD dr. Soedono Provinsi Jawa Timur sebagai Rumah Sakit Jejaring Pendidikan",03686/UN10.F1701/B/KS/2025,,100.3.7.01/6566/102.9/2025,1 April 2025,31 Maret 2028,31 Desember 2027,Berjalan,ah84fhe2eplm69rs25ivdbqcfg@google.com,fikes@ub.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/17-02-2025-1751335581-scan_PKS_Pengabdian_Masyarakat_Fikes_UB.pdf,
82,Universitas Muhammadiyah Kudus,,Pelaksanaan Tri Dharma Perguruan Tinggi,180/AI-5/UMKU/V/2025,,100.3.7.1/12824/102.9/2025,8 April 2025,8 April 2028,8 Januari 2028,Berjalan,6fof5do6030iula9098u3uhqeo@google.com,sekretariat@umkudus.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/31-08-2020-1602745891-PKS_Unmuh_Kudus.pdf,
83,FK Universitas Islam Indonesia Yogyakarta,RSUD dr. Soehadi Prijonegoro Sragen,RSUD dr. Soehadi Prijonegoro Sragen sebagai Rumah Sakit Pendidikan Satelit RSUD dr. Soedono Madiun,371.c/Dek-FK/01/Div.Adm.URT-FK/IV/2025,400.14.5.4/831/05.1.1/2025,100.3.7.1/12987/102.9/2025,9 April 2025,9 April 2028,9 Januari 2028,Berjalan,ceop69immb93c15903pnm10cfs@google.com,"fk@uii.ac.id
rsudsragen1958@gmail.com",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-01-2018-1675150223-PKS_Tripartid_FK_UII_dan_RS_Soehadi_Prijonegoro_ttg_Program_Pendidikan_Dokter_di_RS_Jejaring.pdf,
84,FK UII Yogyakarta,RSUD Dr. Soeroto Ngawi,RSUD dr. Soeroto Kabupaten Ngawi Sebagai Rumah Sakit Pendidikan Satelit Rumah Sakit Umum Daerah dr. Soedono Provinsi Jawa Timur,371.e/Dek-FK/01/Div.Adm.URT-FK/IV/2025,400.7.3.5/67/404.302.1/2025,100.3.7.1/12986/102.9/2025,9 April 2025,9 April 2028,9 Januari 2028,Berjalan,rd7f2on2p6bqllp6dsikbel0n0@google.com,"fk@uii.ac.id
rssoeroto@ngawikab.go.id",belum ada scan PKS,adanya jejaring
85,FK UII Yogyakarta,RSUD Wonosari,Pelaksanaan Program Pendidikan Dokter di Rumah Sakit Jejaring ,371.a/Dek-FK/01/Div.Adm.URT-FK/IV/2025,100.4.6.1/1092.D/2025,100.3.7.1/12989/102.9/2026,9 April 2025,9 April 2028,9 Januari 2028,Berjalan,t6ucfcrva32ifphi2lm7aqru1o@google.com,"fk@uii.ac.id
rsudwonosari06@gmail.com",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-01-2018-1675149014-PKS_Tripartid_FK_UII_dan_RSUD_Wonosari_ttg_Program_Pendidikan_Dokter_di_RS_Jejaring.pdf,
86,Politeknik Negeri Jember,,Praktik Kerja lapang Mahasiswa Jurusan Kesehatan Politeknik Negeri Jember di RSUD dr. Soedono Madiun,5596/PLI7/KS/2025,,100.3.7.1/13342/102.9/2025,11 April 2025,10 April 2028,10 Januari 2028,Berjalan,dvqppenp4pug0gu2d92up0bkvo@google.com,ukerma@polije.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/11-04-2022-1655364033-PKS_Politeknik_Negeri_Jember.pdf,
87,Politeknik Kementerian Kesehatan Malang,,PRAKTEK KLINIK MAHASISWA,HK.03.01/F.XIII/2629/2025,,100.3.7.1/48119/102.9/2025,25 April 2025,24 April 2028,24 Januari 2028,Berjalan,cgjcirookerimupd5q5cvlrtj4@google.com,direktorat@poltekkes-malang.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/12-09-2025-1751949556-Scan_PKS_Poltekkes_Surabaya_ttg_Praktik_mahasiswa.pdf,
88,Politeknik Kementerian Kesehatan Surakarta,,Pelaksanaan Tri Dharma Perguruan Tinggi,HK.03.01/F.XXV/2390/2025,,100.3.7.1/16175/102.9/2025,5 Mei 2025,5 Mei 2028,5 Februari 2028,Berjalan,cs929jqoqu7259t52tn15uha1o@google.com,humas.advokasipolkesta@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/13-04-2020-1617851327-PKS_POLTEKKES_KEMENKES_SURAKARTA_2020-2022.pdf,
89,Universitas Kusuma Husada Surakarta,3,Pelaksanaan Tridharma Perguruan Tinggi,,,100.3.7.1/16882/102.9/2025,9 Mei 2025,9 Mei 2028,9 Februari 2028,Proses Mitra,l54lffuieho1sa57r793ersg2s@google.com, info@ukh.ac.id,,
90,PT Bank Pembangunan Daerah Jawa Timur Tbk Cabang Madiun,,Fasilitas Pembayaran Diklit melalui Virtual Account,062/03/MDN/opd/PKS,,445/27.365/102.9/2023,30 Mei 2023,29 Mei 2028,29 Februari 2028,Berjalan,qhpfa4snlia8t2tr488md525a8@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/30-06-2022-1674715878-PKS_Virtual_Account_Bank_Jatim.pdf,
91,Akademi Teknik Radiodiagnostik dan Radioterapi Bali,,Pelaksanaan Tri Dharma Perguruan Tinggi,014/AB/ATRO/VII/2025,,100.3.7.1/19618/.102.9/2025,2 Juni 2025,2 Juni 2028,2 Maret 2028,Berjalan,tsuqopn0fb4safi6d47cr3cfvk@google.com,atro.bali.ac.id,belum ada scan PKS,
92,Politeknik Indonusa Surakarta,,Pelaksanaan Tri Dharma Perguruan Tinggi,1232/DVI-MOU/INDO/VI/2025,,100.3.7.1/19617/102.9/2025,2 Juni 2025,2 Juni 2028,2 Maret 2028,Berjalan,kb0kcdmh253muanfjg2f4lstns@google.com,polinus@poltekindonusa.ac.id,belum ada scan PKS,
93,Politeknik Negeri Madiun,,Pelaksanaan Tri Dharma Perguruan Tinggi,09/13/PL33.001/HK/2024,,100.3.7.1/20413/102.9/2024,24 Juni 2024,23 Juni 2028,23 Maret 2028,Berjalan,irj6dbq628l0mun4rciui5muf8@google.com,sundaru.guntur@pnm.ac.id,belum ada scan PKS,
94,STIKES Muhammadiyah Bojonegoro,,"Penyelenggaraan Pendidikan, Pelatihan dan Penelitian",0326/I.3AU/J/2025,,100.3.7.1/23343/102.9/2025,3 Juli 2025,3 Juli 2028,3 April 2028,Berjalan,7s0evbovnt70tf64sflomm7jmc@google.com,stikesmuhbjngr@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/03-07-2023-1690173884-PKS_Stikes_Muhammadiyah_Bojonegoro_2023.pdf,
95,Poltekkes Kemenkes Semarang,,Pelaksanaan Tridharma Perguruan Tinggi,HK.03.01/F.XV/5240/2025,,100.3.7/24353/102.9/2025,10 Juli 2025,10 Juli 2028,10 April 2028,Berjalan,80s4udsr4ch9gvin8gpe4fp9h8@google.com,humas@poltekkes-smg.ac.id,belum ada scan PKS,
96,Fakultas Vokasi Universitas Airlangga,,"Keg Pendidikan, Penelitian dan Pengabdian pada Masyarakat",103/UN3.FV/HK.07.00/2025,,100.3.7.1/24355/102.9/2025,10 Juli 2025,10 Juli 2028,10 April 2028,Berjalan,q4hdbf98pcspdak7cukekq7798@google.com,info@vokasi.unair.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/14-08-2020-1602746226-PKS_FAKULTAS_VOKASI_UNAIR.pdf,
97,STIKes Pemkab Jombang,,Penyelenggaraan Kegiatan Pelatihan dan Peningkatan Kompetensi,315/SK-PT/STIKES-PEMKAB/JBG/VII/2025,,100.3.7.1/27573/102.9/2025,30 Juli 2025,29 Juli 2025,29 April 2025,Berjalan,e6ir4400oguj4b1i87ji3mm2gc@google.com,puket3.stikespemkab@gmail.com,belum ada scan PKS,
98,Fakultas Kedokteran Universitas Brawijaya ,RSUD Dr. Saiful Anwar,"Pendidikan, Pelayanan, Penelitian dan Pengabdian Masyarakat Rumah Sakit Jejaring",4697.5/UN10.f08/ks/2023,,100.3.7.1/20413/102.9/2024,1 Agustus 2023,31 Juli 2028,30 April 2028,Berjalan,7miu3c2k662jar1gc2ss9i8u94@google.com,"sekr.fk@ub.ac.id
staf-rsu-drsaifulanwar@jatimprov.go.id",belum ada scan PKS,
99,Poltekkes Kemenkes Surabaya,,Praktik Mahasiswa Poltekkes Kemenkes Surabaya di RSUD dr. Soedono Provinsi Jawa Timur,HK.03.01/F.XVI/4103/2025,,100.3.7.1/33447/102.9/2025,6 September 2025,6 September 2028,6 Juni 2028,Berjalan,uvjcgorsucq8hvg3vm8et423u8@google.com,humas@poltekkesdepkes-sby.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/12-09-2025-1751949556-Scan_PKS_Poltekkes_Surabaya_ttg_Praktik_mahasiswa.pdf,
100,Sekolah Tinggi Ilmu Kesehatan Bhakti Husada Mulia Madiun,,Penyelenggaraan Kegiatan Pelatihan dan Peningkatan Kompetensi,011/STIKES/BHM/MOU/IX/2025,,100.3.7.1/33621/102.9/2025,11 September 2025,10 September 2028,10 Juni 2028,Berjalan,nb8173u26sbjah67aqma8p1jsk@google.com,stikesbhm@gmail.com atau pmbstikesbhm@gmail.com,belum ada scan PKS,
101,Himpunan Perawat Endoskopi Gastrointestinal Indonesia,,Penyelenggaraan Kegiatan Palatihan dan Peningkatan Kompetensi,064/35.25/HIPEGI/X/2025,,100.3.7.1/34411/102.9/2025,22 September 2025,21 September 2028,21 Juni 2028,Berjalan,,hipegijawatimur.2015@gmail.com,,
102,DWP PPNI Jawa Timur,,"Penyelenggaraan Pendidikan, Pelatihan, Penelitian, Pengembangan dan Pengabdian Masyarakat Bidang Kesehatan",006/DWP.PPNI/MOU/K/X/2023,,800.3/38159/102.9/2023,25 Oktober 2023,25 Oktober 2028,25 Juli 2028,Berjalan,mnfs6f38h3847hsg1m30l9hv3k@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/25-10-2023-1700208165-Scan_PKS_DPW_PPNI_Jatim_ttg_Pelatihan_Bidang_Nakes_2023.pdf,
103,Fakultas Matematika dan Ilmu Pengetuan Alam Universitas Brawijaya,,"Kegiatan Pendidikan, Penelitian dan Pengabdian Kepada Masyarakat, serta Peningkatan Kualitas SDM",07863/UN10.F0901/B/KS/2025,,100.3.7/43760/102.9/2025,20 November 2025,20 November 2028,20 Agustus 2028,Berjalan,jfktogn1gbfaj7a1n82r8j6f8o@google.com,"bppmfmipaub@ub.ac.id
081335627243",belum ada scan PKS,
104,Universitas Muhammadiyah Ponorogo,,"Praktik Klinik Keperawatan, Kebidanan dan Fisioterapi",,,100.3.7.1/45766/102.9/2025,2 Desember 2025,2 Desember 2028,2 September 2028,Berjalan,1ifimtl6td99e911078i8q1o1g@google.com,"humas@umpo.ac.id , akademik@umpo.ac.id",belum ada scan PKS,
105,STIKES Mitra Husada Karanganyar,,"Praktik Lapangan, Penelitian, Pengabdian kepada masy dan Magang utk Mahasiswa dan Dosen",101.3/258/MOU/STIKes-MHK/XII/2025,,100.3.7.1/46821/102.9/2025,8 Desember 2025,8 Desember 2028,8 September 2028,Berjalan,6dfbedg2mebknr8hhf6d74o890@google.com,stikes.mitrahusada@gmail.com,belum ada scan PKS,
106,Program Studi Farmasi Diploma Tiga Universitas Katolik Widya Mandala Surabaya Kampus Kota Madiun,,Peningkatan Kompetensi Mahasiswa Prodi Farmasi Diploma Tiga ,288/WMM.03.02/Q/XII/2025,,100.3.7.1/46846/102.9/2025,8 Desember 2025,8 Desember 2028,8 September 2028,Berjalan,8cvmemr695vt9u1htssgbmd1r4@google.com,hod-osc-pharmdipl@ukwms.ac.id,belum ada scan PKS,
107,Fakultas  Biologi Universitas Gadjah Mada,,Program Magang Mahasiswa,1174/UN1/BI/KSA/HK.08.00/2026,,100.3.7.1/6206/102.9/2026,2 Januari 2026,1 Januari 2029,1 Oktober 2028,Berjalan,2ausbvg5560gsm35r7m3rnor2g@google.com,biologi-ugm@ugm.ac.id,belum ada scan PKS,
108,Fakultas Ilmu Keolahragaan dan Kesehatan Universitas Negeri Surabaya,,"Pelaksanaan Kegiatan Pendidikan, Penelitian, dan Pengabdian Masyarakat ",31450/UN38.6/KS.01/2026,,"100.3.7.1/481/102,9/2026",2 Januari 2026,2 Januari 2029,2 Oktober 2028,Berjalan,0f3eqc6najdooks4vk60upg384@google.com,fikk@unesa.ac.id,belum ada scan PKS,
109,STIKes Pemkab Jombang,,Praktik Klinik Mahasiswa ,18/SK_PT/STIKES-PEMKAB/JBG/I/2025,,100.3.7.1/50215/102.9/2025,8 Januari 2026,7 Januari 2029,7 Oktober 2028,Berjalan,mm080thiqt25fab4bopccddbto@google.com,stikes_pemkab@yahoo.com,belum ada scan PKS,
110,STIKES Karya Husada Kediri,,Praktik Klinik dan Praktik Profesi Mahasiswa Stikes Karya Husada Kediri di RSUD dr. Soedono Provinsi Jawa Timur,005.6/STIKES/KH/I/2025,,100.3.7.1/1040/102.9/2026,9 Januari 2026,9 Januari 2029,9 Oktober 2028,Berjalan,k4edm8sgmnql3to0q41m496464@google.com,admin@stikes-khkediri.ac.id,belum ada scan PKS,
111,Fakultas Ilmu Kesehatan Universitas Muhammadiyah Malang,,"Pelaksanaan Praktek Klinik, Praktek Profesi, Penelitian dan Pengabdian Masyarakat di RSUD dr. Soedono",E.5.c/1217/FIKES-UMM/X/2024,,100.3.7.1/36674/102.9/2024,3 Oktober 2024,2 Oktober 2029,2 Juli 2029,Berjalan,mgpciq5tl86h6u1rgpkelvqfss@google.com,fikes@umm.ac.id,belum ada scan PKS,
112,Fakultas Kesehatan Masyarakat Universitas Airlangga,,Tri Dharma Perguruan Tinggi,9956/TB/UN3.FKM/HK.07.00/2024,,100.3.7.1/36668/102.9/2024,3 Oktober 2024,2 Oktober 2029,2 Juli 2029,Berjalan,rhi8dv780rs5tg5m7efnc44c88@google.com,adm@pkip.unair.ac.id,belum ada scan PKS,
113,PPNI Kota Madiun,,Penyelenggaraan Kegiatan Pelatihan dan Peningkatan Kompetensi,001/DPD.PPNI/MOU/I/2026,,100.3.7.1/1230/102.9/2026,7 Januari 2026,31 Desember 2029,30 September 2029,Berjalan,a1mnikcj4oo1h99glscem4lu90@google.com,ppnikotamadiun@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/12-01-2026-1773109458-Scan_PKS_dengan_PPNI_kota_Madiun_ttg_Penyelenggaraan_Pelatihan.pdf,
114,Himpunan Perawat Kamar Bedah indonesia Provinsi Jawa Timur,,Penyelenggaraan Kegiatan Pelatihan dan Peningkatan Kompetensi,001/PW.HIPKABI/MOU/I/2025,,100.3.7.1/46098/102.9/2025,7 Desember 2026,31 Desember 2029,30 September 2029,Berjalan,m0q388191qffldtvqaj6q6ahns@google.com,pwhipkabijatim@gmail.com,belum ada scan PKS,
115,PT Telkom Indonesia (Persero) Tbk,,Addendum Layanan Service Indihome Internet,K.TEL1950/HK.810/R5W-5E1H0000/2023,,,Selamanya,Selamanya,Selamanya,Berjalan,g89l3v1f8r7j3jngoo70c86v2k@google.com,investor@telkom.co.id,belum ada scan PKS,
116,RSUD Haji Surabaya Provinsi Jawa Timur,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,445/291/102.10/2023,,"445/13,096/102,9/2023",,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,rvblr14gifc9ncdcl8lei1f8h8@google.com,rshaji@jatimprov.go.id,belum ada scan PKS,
117,Biro Keuangan Sekretariat Jenderal DPR RI,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,100.3.7.1/24957/102.9/2024,,B/14024/HK.06/9/2025,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,e4g26ef9mm1q192enndg3rvcjo@google.com,openparliament@dpr.go.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/17-07-2024-1723608319-MoU_Replikasi_ZI_Biro_Keuangan_Setjen_DPR_RI.pdf,
118,RSUD Dungus,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,100.3.7.1/12275/102.9/2024,,100.3.7.1/290/102.18/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,qlfsbfc2i1gtft2esc8jkgcjs4@google.com,rsuddungus.pemprov.jatim@gmail.com,belum ada scan PKS,
119,RSUD Kota Madiun,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,100.3.7.1/12274/102.9/2024,,445/105/401.103.8/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,1n21l317ug0ocprfip8t77el10@google.com,rsudkotamadiun@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-04-2024-1722565637-Scan_PKS_dengan_RSUD_Kota_Madiun_ttg_Replikasi_ZI.pdf,
120,UPT Cabang Dinas Kelautan dan Perikanan Kabupaten Tuban,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,"100.3.7.1/26727/102,9/2024",,000.8.6/2081/120.6.3/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,q2s68mvrae9l19i1n9oge2c2tg@google.com,cabdinkp_tuban@jatimprov.go.id,belum ada scan PKS,
121,RSUD Sumberglagah,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,100.3.7.1/31407/102.9/2024,,100.3.7.1/2150/102.15/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,qeodqgdrut3e21qimadhemt44s@google.com,rsudsumberglagah@jatimprov.go.id,belum ada scan PKS,
122,UPT Pelabuhan Perikanan Pantai Bulu Tuban,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,,,100.3.7.1/26760/102.9/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,ntkq5b4i42cics2v5ac6608sm4@google.com,ppp_bulu@jatimprov.go.id (cc:) humaspppbulu@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/26-07-2024-1723608510-MoU_Replikasi_ZI_UPT_Pelabuhan_Perikanan_Pantai_Bulu_Tuban.pdf,
123,Satuan Polisi Pamong Praja Provinsi Jawa Timur,,Nota Kesepahaman Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM,,,100.3.7.1/5619/102.9/2024,,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Sampai Unit Kerja meraih predikat Wilayah Bebas dari Korupsi,Berjalan,1r22jkk8us5n9d56qev40pllps@google.com,tidak ada,belum ada scan PKS,
